,id,country,continent,date_of_birth,date_of_death,weight,gender,type,habitat
213,ELF0000213,Zambia,Africa,06.05.1991,10.10.2020,5168,female,African,natural
214,ELF0000214,DR Congo,Africa,29.03.1988,02.05.2015,4933,male,African,natural
215,ELF0000215,Kenya,Africa,16.03.1981,05.10.2016,3257,female,African,natural
216,ELF0000216,Tanzania,Africa,04.01.1989,03.11.2021,4761,male,African,natural
217,ELF0000217,Botswana,Africa,08.10.1996,09.10.2024,8257,male,African,natural
218,ELF0000218,Tanzania,Africa,18.10.1979,21.07.2008,5729,male,African,natural
219,ELF0000219,Tanzania,Africa,28.01.1998,,3250,female,African,natural
220,ELF0000220,Gabon,Africa,28.08.1984,24.07.2011,5146,male,African,natural
221,ELF0000221,Tanzania,Africa,11.02.1974,06.08.2000,2832,female,African,natural
222,ELF0000222,Botswana,Africa,17.07.1972,17.04.2001,1072,female,African,natural
223,ELF0000223,Kenya,Africa,24.02.2011,,2232,female,African,natural
224,ELF0000224,Mozambique,Africa,20.08.2011,,2034,female,African,natural
225,ELF0000225,Tanzania,Africa,08.09.2007,,3307,male,African,natural
226,ELF0000226,South Africa,Africa,10.08.1985,05.02.2009,2592,male,African,natural
227,ELF0000227,Botswana,Africa,06.06.1972,06.07.2002,4487,male,African,natural
228,ELF0000228,Tanzania,Africa,26.10.1971,28.04.2010,6253,male,African,natural
229,ELF0000229,Botswana,Africa,23.09.1984,13.11.2009,3375,female,African,natural
230,ELF0000230,Kenya,Africa,14.01.2004,,1209,female,African,natural
231,ELF0000231,Botswana,Africa,12.10.1988,28.01.2021,6474,male,Asian,natural
232,ELF0000232,Zimbabwe,Africa,07.03.2016,,2293,female,Asian,natural
233,ELF0000233,Tanzania,Africa,24.01.1981,28.06.2004,4274,male,African,natural
234,ELF0000234,Cameroon,Africa,08.06.1997,,7966,male,African,natural
235,ELF0000235,Tanzania,Africa,07.01.1995,21.11.2019,4042,male,African,natural
236,ELF0000236,Zimbabwe,Africa,15.02.1988,,4392,male,African,natural
237,ELF0000237,Kenya,Africa,03.10.2012,,7616,male,Asian,natural
238,ELF0000238,Kenya,Africa,07.11.2007,,447,female,African,natural
239,ELF0000239,Botswana,Africa,19.07.1991,,2549,male,African,natural
240,ELF0000240,Zambia,Africa,16.06.2004,,3365,male,African,natural
241,ELF0000241,Tanzania,Africa,14.10.1991,,3435,female,African,natural
242,ELF0000242,Tanzania,Africa,22.01.1997,,2106,female,African,natural
243,ELF0000243,Zimbabwe,Africa,26.03.1976,09.10.1996,2387,female,African,natural
244,ELF0000244,Sri Lanka,Asia,12.03.1979,13.08.2002,3566,male,Asian,natural
245,ELF0000245,Zimbabwe,Africa,26.12.2011,,4064,male,African,natural
246,ELF0000246,Botswana,Africa,07.09.1983,28.04.2012,1295,female,African,natural
247,ELF0000247,Tanzania,Africa,29.08.1991,13.09.2023,5909,male,African,natural
248,ELF0000248,Botswana,Africa,05.10.2019,,2948,female,African,natural
249,ELF0000249,Zambia,Africa,28.09.2020,,3644,female,African,natural
250,ELF0000250,Gabon,Africa,02.06.1985,21.07.2020,4546,male,African,natural
251,ELF0000251,Botswana,Africa,03.03.2000,06.08.2015,4904,male,African,natural
252,ELF0000252,Botswana,Africa,20.12.1985,14.11.2018,3373,female,African,natural
253,ELF0000253,Botswana,Africa,12.04.1982,22.06.2021,778,female,African,natural
254,ELF0000254,DR Congo,Africa,05.04.1983,19.11.2013,4494,male,African,natural
255,ELF0000255,South Africa,Africa,09.04.1987,17.07.2014,2551,female,African,natural
256,ELF0000256,Gabon,Africa,15.03.1998,05.01.2024,3862,female,African,natural
257,ELF0000257,Botswana,Africa,09.04.1987,,6255,male,African,natural
258,ELF0000258,Zambia,Africa,27.06.1990,03.06.2016,4388,male,African,natural
259,ELF0000259,Tanzania,Africa,18.11.2017,,4365,male,African,natural
260,ELF0000260,Tanzania,Africa,13.04.2009,,4130,male,African,natural
261,ELF0000261,Tanzania,Africa,30.09.1988,29.01.2022,3655,female,African,natural
262,ELF0000262,Botswana,Africa,14.04.1988,28.11.2018,4866,female,African,natural
263,ELF0000263,Sri Lanka,Asia,01.09.1972,13.07.2003,5821,male,African,natural
264,ELF0000264,India,Asia,03.03.2008,,2646,male,Asian,natural
265,ELF0000265,South Africa,Africa,10.06.1974,03.04.2011,3357,male,African,natural
266,ELF0000266,Tanzania,Africa,15.08.1979,08.11.2000,2167,female,Asian,natural
267,ELF0000267,Zimbabwe,Africa,01.02.2012,,1129,female,African,natural
268,ELF0000268,Zambia,Africa,09.06.2018,,2300,female,African,natural
269,ELF0000269,Kenya,Africa,04.01.1998,,1253,female,African,natural
270,ELF0000270,Zimbabwe,Africa,18.11.2012,,4429,male,African,natural
271,ELF0000271,Zimbabwe,Africa,09.07.1970,11.09.1996,3272,female,African,natural
272,ELF0000272,Tanzania,Africa,10.02.1992,18.12.2017,2971,female,African,natural
273,ELF0000273,Zimbabwe,Africa,09.04.1981,24.03.2006,5938,male,African,natural
274,ELF0000274,Botswana,Africa,07.01.2019,,1663,female,African,natural
275,ELF0000275,Botswana,Africa,24.06.1984,19.03.2016,7893,male,African,natural
276,ELF0000276,Botswana,Africa,27.06.1987,27.11.2022,2298,male,African,natural
277,ELF0000277,Botswana,Africa,11.08.1978,13.04.2012,2036,female,African,natural
278,ELF0000278,Kenya,Africa,10.04.1982,01.10.2015,4476,female,African,natural
279,ELF0000279,Botswana,Africa,04.07.1977,07.02.2002,4158,female,Asian,natural
280,ELF0000280,Zimbabwe,Africa,30.10.1995,08.08.2024,5369,male,Asian,natural
281,ELF0000281,Zimbabwe,Africa,24.10.2008,,1587,female,African,natural
282,ELF0000282,Botswana,Africa,07.04.1970,13.01.2008,4452,male,African,natural
283,ELF0000283,Botswana,Africa,26.04.1992,,5093,male,African,natural
284,ELF0000284,Mozambique,Africa,11.03.2018,,75,female,African,natural
285,ELF0000285,Botswana,Africa,21.10.1994,,1574,female,African,natural
286,ELF0000286,Zimbabwe,Africa,11.09.2015,,1250,female,African,natural
287,ELF0000287,Botswana,Africa,11.04.1984,23.07.2018,3464,male,Asian,natural
288,ELF0000288,Zimbabwe,Africa,09.10.2003,,3773,female,Asian,natural
289,ELF0000289,Botswana,Africa,05.09.2016,,6086,male,African,natural
290,ELF0000290,Tanzania,Africa,07.08.2012,,3041,female,African,natural
291,ELF0000291,Botswana,Africa,12.07.1974,14.04.2003,3947,male,African,natural
292,ELF0000292,DR Congo,Africa,11.04.1996,,1796,female,African,natural
293,ELF0000293,Zimbabwe,Africa,03.01.1983,25.12.2014,3815,female,African,natural
294,ELF0000294,Botswana,Africa,14.08.1994,,5323,male,African,natural
295,ELF0000295,Zimbabwe,Africa,17.08.1987,,3140,male,African,natural
296,ELF0000296,Botswana,Africa,11.07.1995,,3205,female,African,natural
297,ELF0000297,Tanzania,Africa,08.07.2008,,1684,female,African,natural
298,ELF0000298,Botswana,Africa,28.02.1980,06.02.2007,3947,female,African,natural
299,ELF0000299,Zambia,Africa,10.01.1981,22.10.2011,3140,female,African,natural
300,ELF0000300,DR Congo,Africa,03.01.1985,28.12.2021,4242,female,African,natural
301,ELF0000301,Zimbabwe,Africa,25.04.1991,10.01.2024,7036,male,African,natural
302,ELF0000302,Zimbabwe,Africa,13.02.1997,,5721,male,African,natural
303,ELF0000303,Mozambique,Africa,21.03.1980,22.03.2007,2763,female,African,natural
304,ELF0000304,Kenya,Africa,27.08.2003,,1599,female,African,natural
305,ELF0000305,Tanzania,Africa,12.09.2008,,2941,female,African,natural
306,ELF0000306,Tanzania,Africa,08.07.1987,17.12.2017,3551,female,African,natural
307,ELF0000307,India,Asia,16.02.1983,19.03.2010,2179,female,Asian,natural
308,ELF0000308,Tanzania,Africa,25.07.1982,09.09.2009,2503,female,African,natural
309,ELF0000309,Zambia,Africa,30.07.2012,,5156,male,Asian,natural
310,ELF0000310,Zimbabwe,Africa,28.10.2015,,4619,male,African,natural
311,ELF0000311,Zimbabwe,Africa,13.12.2023,,4763,male,African,natural
312,ELF0000312,Zimbabwe,Africa,13.04.1976,28.05.2011,3162,female,African,natural
313,ELF0000313,South Africa,Africa,13.10.2013,,1321,female,African,natural
314,ELF0000314,Kenya,Africa,27.10.2001,,2013,female,African,natural
315,ELF0000315,Botswana,Africa,08.03.2011,,3544,female,African,natural
316,ELF0000316,Botswana,Africa,20.10.2009,,4791,male,African,natural
317,ELF0000317,Namibia,Africa,25.07.2022,,3550,male,African,natural
318,ELF0000318,Sri Lanka,Asia,16.10.1979,15.03.2014,5091,male,Asian,natural
319,ELF0000319,Kenya,Africa,14.08.2024,,5221,male,African,natural
320,ELF0000320,Zimbabwe,Africa,23.05.1977,24.07.2005,1491,female,African,natural
321,ELF0000321,Botswana,Africa,09.01.1981,23.09.2010,5234,male,African,natural
322,ELF0000322,Kenya,Africa,16.08.1984,08.09.2011,6092,male,African,natural
323,ELF0000323,Botswana,Africa,12.02.1985,09.10.2014,8924,male,African,natural
324,ELF0000324,Zimbabwe,Africa,25.09.2006,,6688,male,African,natural
325,ELF0000325,Tanzania,Africa,15.06.1978,02.12.2006,2333,female,Asian,natural
326,ELF0000326,India,Asia,19.03.2008,,2166,female,Asian,natural
327,ELF0000327,DR Congo,Africa,18.02.2024,,2558,female,African,natural
328,ELF0000328,Namibia,Africa,03.04.1987,13.05.2014,4306,male,Asian,natural
329,ELF0000329,South Africa,Africa,28.11.2020,,1220,female,African,natural
330,ELF0000330,Kenya,Africa,22.09.2011,,5135,male,African,natural
331,ELF0000331,Tanzania,Africa,28.08.1994,10.10.2019,2263,female,African,natural
332,ELF0000332,Botswana,Africa,11.12.2013,,2525,female,African,natural
333,ELF0000333,Botswana,Africa,31.03.2015,,3037,female,African,natural
334,ELF0000334,Namibia,Africa,12.05.1988,,2225,female,African,natural
335,ELF0000335,Zimbabwe,Africa,08.03.1992,12.06.2019,3284,female,African,natural
336,ELF0000336,Zambia,Africa,25.12.1985,29.12.2005,4896,female,African,natural
337,ELF0000337,Gabon,Africa,02.10.1988,19.10.2012,2328,female,African,natural
338,ELF0000338,Tanzania,Africa,29.12.2010,,2363,female,Asian,natural
339,ELF0000339,South Africa,Africa,19.06.1984,10.10.2017,3950,male,African,natural
340,ELF0000340,Botswana,Africa,04.10.2023,,3592,female,African,natural
341,ELF0000341,Zimbabwe,Africa,28.06.1997,,4400,male,African,natural
342,ELF0000342,Tanzania,Africa,01.03.2020,,3404,female,African,natural
343,ELF0000343,Botswana,Africa,23.01.2004,,5155,female,African,natural
344,ELF0000344,Cameroon,Africa,30.03.1976,01.03.2009,1966,female,African,natural
345,ELF0000345,Botswana,Africa,19.01.2016,,991,female,African,natural
346,ELF0000346,Zimbabwe,Africa,17.05.1980,07.08.2013,2099,female,African,natural
